,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
14337,GA,Crawford County Sheriff's Office,"21 Hortman Mill RdPO Box 1009 Roberta, GA 31078",912-836-3116,15.0,"12,495",Sheriff
14338,GA,Crisp County Sheriff's Office,"196 Ga Highway 300 S  Cordele, GA 31015",912-276-2600,50.0,"21,996",Sheriff
14339,GA,Cumming Police Department,"301 Veterans Memeorial Blvd  Cumming, GA 30040",770-781-2000,13.0,"4,220",Local Police
14340,GA,Cuthbert Police Department,"P.O. Box 6  Cuthbert, GA 31740",912-732-2323,8.0,"3,731",Local Police
14342,GA,Dade County Sheriff's Office,"75 Case AvePO Box 920 Trenton, GA 30752",706-657-4111,25.0,"15,154",Sheriff
14343,GA,Dallas Police Department,"120 Main Street  Dallas, GA 30132",770-443-8100,17.0,"5,056",Local Police
14345,GA,Dalton Police Department,"301 Jones Street  Dalton, GA 30720",706-278-9085,87.0,"27,912",Local Police
14346,GA,Danielsville Police Department,"P.O. Box 339  Danielsville, GA 30633",706-795-5512,2.0,457,Local Police
14347,GA,Darien Police Department,"Post Office Box 452  Darien, GA 31305",912-437-6644,6.0,"1,719",Local Police
14348,GA,Davisboro Police Department,"Post Office Box 189  Davisboro, GA 31018",912-348-4400,1.0,"1,544",Local Police
14349,GA,Dawson County Sheriff's Office,"19 Tucker Ave  Dawsonville, GA 30534",706-344-3535,54.0,"15,999",Sheriff
14351,GA,Decatur County Sheriff's Office,"912 Spring Creek Rd  Bainbridge, GA 39817",229-248-3044,37.0,"28,240",Sheriff
14352,GA,Decatur Police Department,"420 W. Trinity Place  Decatur, GA 30030",404-373-6551,37.0,"18,147",Local Police
14355,GA,Dekalb County Sheriff's Office,"4415 Memorial Dr  Decatur, GA 30032",404-298-8145,325.0,"665,865",Sheriff
14357,GA,Demorest Police Department,"P.O. Box 128  Demorest, GA 30535",706-754-7562,5.0,"1,465",Local Police
14358,GA,Dillard Police Department,"892 Franklin Street  Dillard, GA 30537",706-746-5891,3.0,198,Local Police
14359,GA,Dodge County Sheriff's Office,"5401 ANSON AVE RM 111  Eastman, GA 31023",912-374-8131,15.0,"19,171",Sheriff
14360,GA,Doerun Police Department,"Post Office Box 37  Doerun, GA 31744",912-782-5441,5.0,828,Local Police
14362,GA,Dooly County Sheriff's Office,"576 Pinehurst Hawkinsville RdPO Box 96 Pinehurst, GA 31070",912-645-0920,21.0,"11,525",Sheriff
14363,GA,Doraville Police Department,"3760 Park Avenue  Doraville, GA 30040",770-455-1000,38.0,"9,862",Local Police
14366,GA,Dougherty County Sheriff's Office,"P.O. Box 549  Albany, GA 31702",229-431-3259,114.0,"96,065",Sheriff
14367,GA,Douglas County Sheriff's Office,"6856 Broad St  Douglasville, GA 30134",770-920-4926,223.0,"92,174",Sheriff
14368,GA,Douglas Police Department,"210 West Jackson Street  Douglas, GA 31533",912-384-2222,31.0,"10,639",Local Police
14369,GA,Douglasville Police Department,"6730 Church Street  Douglasville, GA 30134",770-920-3021,91.0,"20,065",Local Police
14370,GA,Dublin Police Department,"Post Office Box 690  Dublin, GA 31040",912-277-1620,52.0,"15,857",Local Police
14371,GA,Duluth Police Department,"3276 Burford Highway  Duluth, GA 30096",770-623-2770,54.0,"22,122",Local Police
14372,GA,Early County Sheriff's Office,"18610 E South BlvdPO Box 939 Blakely, GA 39823",912-723-3214,26.0,"12,354",Sheriff
14374,GA,East Dublin Police Department,"119 Soperton Avenue116 SANVANNAH AVENUE East Dublin, GA 31027",912-272-6883,8.0,"2,484",Local Police
14375,GA,East Ellijay Police Department,"P.O. Box 599  East Ellijay, GA 30539",706-276-3111,8.0,707,Local Police
14376,GA,East Point Police Department,"2727 East Point Street  East Point, GA 30344",404-765-1104,116.0,"39,595",Local Police
14377,GA,Eastman Police Department,"P.O. Drawer 40  Eastman, GA 31023",912-374-7788,11.0,"5,440",Local Police
14378,GA,Eatonton Police Department,"P.O. Box 3820  Eatonton, GA 31024",706-485-3551,16.0,"6,764",Local Police
14379,GA,Echols County Sheriff's Office,"P.O. Box 189  Statenville, GA 31648",912-559-5603,8.0,"3,754",Sheriff
14380,GA,Edison Police Department,"P.O. Box 628  Edison, GA 39846",229-835-2323,3.0,"1,340",Local Police
14381,GA,Effingham County Sheriff's Office,"P.O. Box 1015130 First St Springfield, GA 31329",912-754-3449,69.0,"37,535",Sheriff
14382,GA,Elbert County Sheriff's Office,"47 Forest Ave  Elberton, GA 30635",706-283-2420,30.0,"20,511",Sheriff
14383,GA,Elberton Police Department,"209 Elbert Street  Elberton, GA 30635",706-213-3133,17.0,"4,743",Local Police
14384,GA,Ellaville Police Department,"P.O. Box 829  Ellaville, GA 31806",912-937-2104,4.0,"1,609",Local Police
14385,GA,Ellijay Police Department,"197 N. Main Street  Ellijay, GA 30540",706-635-7430,11.0,"1,584",Local Police
14386,GA,Emanuel County Sheriff's Office,"P.O. Box 703125 S Main St Swainsboro, GA 30401",478-237-7526,15.0,"21,837",Sheriff
14387,GA,Emerson Police Department,"Post Office Box 300  Emerson, GA 30137",770-386-6696,6.0,"1,092",Local Police
14388,GA,Enigma Police Department,"P.O. Box 18  Enigma, GA 31749",229-533-6717,1.0,869,Local Police
14389,GA,Eton Police Department,"Hwy. 411  Eton, GA 30724",706-695-2652,3.0,319,Local Police
14390,GA,Euharlee Police Department,"30 Burge'S Mill Road  Euharlee, GA 30145",770-386-7339,14.0,"3,208",Local Police
14391,GA,Evans County Sheriff's Office,"P.O. Box 425  Claxton, GA 30417",912-739-1611,8.0,"10,495",Sheriff
14392,GA,Fairburn Police Department,"191 West Broad Street  Fairburn, GA 30213",770-964-1441,32.0,"5,464",Local Police
14393,GA,Fairmount Police Department,"P O Box 705  Fairmount, GA 30139",706-337-5306,3.0,745,Local Police
14394,GA,Fannin County Sheriff's Office,"645 West First St  Blue Ridge, GA 30513",706-632-2044,27.0,"19,798",Sheriff
14396,GA,Fayette County Sheriff's Office,"155 Johnson Ave  Fayetteville, GA 30214",770-461-6353,145.0,"108,000",Sheriff
14397,GA,Fayetteville Police Department,"760 Jimmy Mayfield Blvd.  Fayetteville, GA 30215",770-461-4441,44.0,"11,148",Local Police
14398,GA,Fitzgerald Police Department,"Post Office Drawer 478  Fitzgerald, GA 31750",229-426-5000,29.0,"8,758",Local Police
14401,GA,Floyd County Sheriff's Office,"2526 New Calhoun Hwy  Rome, GA 30161",706-291-4111,76.0,"90,565",Sheriff
14402,GA,Folkston Police Department,"103 N 1St Street  Folkston, GA 31537",912-496-2563,7.0,"2,178",Local Police
14405,GA,Forsyth County Sheriff's Office,"202 Veterans Memorial Blvd  Cumming, GA 30040",770-781-2222,253.0,"98,407",Sheriff
14406,GA,Forsyth Police Department,"P.O. Box 1447  Forsyth, GA 31029",912-994-6022,19.0,"3,776",Local Police
14407,GA,Fort Gaines Police Department,"P.O. Box 251  Fort Gaines, GA 31751",229-268-2632,5.0,"1,110",Local Police
14409,GA,Fort Valley Police Department,"P.O. Box 956  Fort Valley, GA 31030",912-822-6971,35.0,"8,005",Local Police
14411,GA,Franklin County Sheriff's Office,"P.O. Box 3101 James Little St Carnesville, GA 30521",706-384-2525,35.0,"20,285",Sheriff
14412,GA,Franklin Police Department,"118 Davis Street  Franklin, GA 30217",706-675-6624,6.0,902,Local Police
14413,GA,Franklin Springs Police Department,"P.O. Box 207  Franklin Spring, GA 30639",706-245-6957,2.0,762,Local Police
14417,GA,Fulton County Sheriff's Office,"185 Central Ave 9Th Floor  Atlanta, GA 30303",404-730-6596,516.0,"816,006",Sheriff
14419,GA,Gainesville Police Department,"118 Jesse Jewell Parkway Se  Gainesville, GA 30501",770-534-5252,101.0,"25,578",Local Police
14421,GA,Garden City Police Department,"P.O. Box 7548  Garden City, GA 31408",912-966-7770,43.0,"11,289",Local Police
14422,GA,Garfield Police Department,"Post Office Box 124  Garfield, GA 30425",912-763-4140,1.0,152,Local Police
14429,GA,Georgia Department Of Public Safety,"P.O. Box 1456  Atlanta, GA 30371",404-624-7071,1048.0,"8,186,453",State
14445,GA,Gilmer County Sheriff's Office,"1 W Side Sq  Ellijay, GA 30540",706-635-4646,65.0,"23,456",Sheriff
14446,GA,Glascock County Sheriff's Office,"P.O. Box 774 E Main St Gibson, GA 30810",706-598-2881,2.0,"2,556",Sheriff
14447,GA,Glennville Police Department,"201 South Church Street  Glennville, GA 30427",912-654-2103,8.0,"3,641",Local Police
14448,GA,Glenwood Police Department,"Post Office Box 616  Glenwood, GA 30428",912-523-5223,2.0,884,Local Police
14451,GA,Glynn County Sheriff's Office,"1812 Newcastle StPO Box 793 Brunswick, GA 31520",912-554-7600,32.0,"67,568",Sheriff
14453,GA,Gordon County Sheriff's Office,"101 S Piedmont St  Calhoun, GA 30701",706-629-1244,60.0,"44,104",Sheriff
14454,GA,Gordon Police Department,"Post Office Box 387  Gordon, GA 31031",478-628-2323,6.0,"2,152",Local Police
14455,GA,Grady County Sheriff's Office,"P.O. Box 690115 - 16th Ave NE Cairo, GA 39828",229-377-5200,15.0,"23,659",Sheriff
14456,GA,Graham Police Department,"9659 Golden Isles Hwy., West  Graham, GA 31513",912-367-6900,2.0,312,Local Police
14457,GA,Grantville Police Department,"Post Office Box 519  Grantville, GA 30220",770-583-2266,9.0,"1,309",Local Police
14458,GA,Gray Police Department,"Post Office Box 443  Gray, GA 31032",912-986-5554,13.0,"1,811",Local Police
14459,GA,Greene County Sheriff's Office,"1201 S Industrial Blvd  Greensboro, GA 30642",706-453-3351,34.0,"14,406",Sheriff
14460,GA,Greensboro Police Department,"1141 Siloam Road  Greensboro, GA 30642",706-453-7967,13.0,"3,238",Local Police
14461,GA,Greenville Police Department,"P.O. Box 548  Greenville, GA 30222",706-672-4211,5.0,946,Local Police
14462,GA,Griffin Police Department,"868 West Poplar Street  Griffin, GA 30224",770-229-6450,100.0,"23,451",Local Police
14463,GA,Grovetown Police Department,"P.O. Box 120  Grovetown, GA 30813",706-863-1212,23.0,"6,089",Local Police
14467,GA,Gwinnett County Sheriff's Office,"2900 University Pkwy  Lawrenceville, GA 30043",770-822-3100,531.0,"588,448",Sheriff
14470,GA,Habersham County Sheriff's Office,"1000 Detention Dr  Clarkesville, GA 30523",706-754-6666,32.0,"35,902",Sheriff
14472,GA,Hahira Police Department,"102 South Church Street  Hahira, GA 31632",912-794-2440,7.0,"1,626",Local Police
14474,GA,Hall County Sheriff's Office,"610 Main St Sw  Gainesville, GA 30501",770-531-6891,257.0,"139,277",Sheriff
14475,GA,Hamilton Police Department,"Post Office Box 112  Hamilton, GA 31811",706-628-5318,1.0,307,Local Police
14476,GA,Hampton Police Department,"Post Office Box 400  Hampton, GA 30228",770-946-4513,17.0,"3,857",Local Police
14478,GA,Hancock County Sheriff's Office,"67 Spring St  Sparta, GA 31087",706-444-6471,16.0,"10,076",Sheriff
14479,GA,Hapeville Police Department,"700 Doug Davis Dr  Hapeville, GA 30354",404-669-2150,26.0,"6,180",Local Police
14481,GA,Haralson County Sheriff's Office,"224 Holly StPO Box 309 Buchanan, GA 30113",770-646-2011,38.0,"25,690",Sheriff
14482,GA,Harlem Police Department,"P.O. Box 99  Harlem, GA 30814",706-556-6262,7.0,"1,814",Local Police
14483,GA,Harris County Sheriff's Office,"P.O. Box 2869825 GA Hwy 116 Hamilton, GA 31811",706-628-4211,48.0,"23,695",Sheriff
14484,GA,Hart County Sheriff's Office,"155 N Carolina StPO Box 886 Hartwell, GA 30643",706-376-3114,23.0,"22,997",Sheriff
14485,GA,Hartwell Police Department,"500 E. Howell Street  Hartwell, GA 30643",706-376-3111,19.0,"4,188",Local Police
14486,GA,Hawkinsville Police Department,"P.O. Box 120  Hawkinsville, GA 31036",912-783-1681,7.0,"3,280",Local Police
14487,GA,Hazlehurst Police Department,"#6 South Williams  Hazlehurst, GA 31539",912-375-6688,11.0,"3,787",Local Police
14488,GA,Heard County Sheriff's Office,"P.O. Box 33911820 Hwy 100 N Franklin, GA 30217",706-675-3329,18.0,"11,012",Sheriff
14489,GA,Helen Police Department,"P.O. Box 280  Helen, GA 30545",706-878-2722,10.0,430,Local Police
14490,GA,Helena Police Department,"718 Forsyth Ave  Helena, GA 31037",912-868-6222,3.0,"2,307",Local Police
14492,GA,Henry County Sheriff's Office,"120 Henry Pkwy  Mcdonough, GA 30253",770-954-2200,127.0,"119,341",Sheriff
14493,GA,Hephzibah Police Department,"P.O. Box 250  Hephzibah, GA 30815",706-592-4423,5.0,"3,880",Local Police
14495,GA,Hiltonia Police Department,"City Hall140 2ND AVENUE Hiltonia, GA 30467",912-829-3999,1.0,421,Local Police
14496,GA,Hinesville Police Department,"123 E. Martin Luther King Dr  Hinesville, GA 31313",912-368-8211,81.0,"30,392",Local Police
14497,GA,Hiram Police Department,"217 Main Street  Hiram, GA 30141",770-943-3087,15.0,"1,361",Local Police
14499,GA,Hogansville Police Department,"117 Lincoln Street  Hogansville, GA 30230",706-637-6648,13.0,"2,774",Local Police
14500,GA,Holly Springs Police Department,"Post Office Box 990  Holly Springs, GA 30142",770-345-5537,18.0,"3,195",Local Police
14501,GA,Homerville Police Department,"20 south  College suit B  Homerville, GA 31634",912-487-5305,6.0,"2,803",Local Police
14502,GA,Hoschton Police Department,"101 Pearl Industrial Ave  Hoschton, GA 30548",706-654-3034,7.0,"1,070",Local Police
14503,GA,Houston County Sheriff's Office,"202 Carl Vinson Pkwy  Warner Robins, GA 31088",912-542-2080,114.0,"110,765",Sheriff
14504,GA,Ideal Police Department,"P.O. Box 9  Ideal, GA 31041",912-949-2720,1.0,518,Local Police
14505,GA,Irwin County Sheriff's Office,"400 S Irwin Ave  Ocilla, GA 31774",912-468-7459,13.0,"9,931",Sheriff
14506,GA,Irwinton Police Department,"Post Office Box 359  Irwinton, GA 31042",912-946-7144,1.0,587,Local Police
14507,GA,Ivey Police Department,"148 Highway 243  Ivey, GA 31031",912-628-2479,2.0,"1,100",Local Police
14509,GA,Jackson County Sheriff's Office,"P.O. Box 98  Jefferson, GA 30549",706-367-8718,89.0,"41,589",Sheriff
14510,GA,Jackson Police Department,"116 Byars Street  Jackson, GA 30233",770-775-7878,13.0,"3,934",Local Police
14511,GA,Jasper County Sheriff's Office,"1551 Ga Highway 212 WPO Box 311 Monticello, GA 31064",706-468-4912,16.0,"11,426",Sheriff
14512,GA,Jasper Police Department,"200 Burnt Mountain Road  Jasper, GA 30143",706-692-2466,12.0,"2,167",Local Police
14513,GA,Jeff Davis County Sheriff's Office,"15 Public Safety DrPO Box 237 Hazlehurst, GA 31539",912-375-6600,15.0,"12,684",Sheriff
14514,GA,Jefferson County Sheriff's Office,"P.O. Box 72  Louisville, GA 30434",478-625-7538,23.0,"17,266",Sheriff
14515,GA,Jefferson Police Department,"140 Mahaffey Street  Jefferson, GA 30549",706-367-8878,23.0,"3,825",Local Police
14516,GA,Jeffersonville Police Department,"P.O. Box 223  Jeffersonville, GA 31044",912-945-6972,4.0,"1,209",Local Police
14517,GA,Jenkins County Sheriff's Office,"P.O. Box 857112 S Masonic St Millen, GA 30442",912-982-4211,3.0,"8,575",Sheriff
14520,GA,Johnson County Sheriff's Office,"230 DONOVAN-HARRISON RD  Wrightsville, GA 31096",912-864-3941,8.0,"8,560",Sheriff
14521,GA,Jones County Sheriff's Office,"P.O. Box 874123 Holmes Hawkins Dr Gray, GA 31032",912-986-3489,43.0,"23,639",Sheriff
14522,GA,Jonesboro Police Department,"170 S. Main Street  Jonesboro, GA 30236",770-478-7407,24.0,"3,829",Local Police
14523,GA,Kennesaw Police Department,"2539 J.O. Stephenson Ave.  Kennesaw, GA 30144",770-429-4535,60.0,"21,675",Local Police
14525,GA,Kingsland Police Department,"Post Office Box 250  Kingsland, GA 31548",912-729-8254,43.0,"10,506",Local Police
14526,GA,Kingston Police Department,"Post Office Box 309  Kingston, GA 30145",770-336-5905,3.0,659,Local Police
14528,GA,Lagrange Police Department,"100 Haralson St, P.O. Box 430  LaGrange, GA 30241",706-883-2610,83.0,"25,998",Local Police
14529,GA,Lake City Police Department,"5455 Jonesboro Rd  Lake City, GA 30260",404-366-8035,16.0,"2,886",Local Police
14530,GA,Lake Park Police Department,"100 N. Essa Street120 N ESSA STREET Lake Park, GA 31636",229-559-7470,3.0,549,Local Police
14531,GA,Lakeland Police Department,"122 S. Valdosta Road  Lakeland, GA 31635",912-482-3300,7.0,"2,730",Local Police
14532,GA,Lamar County Sheriff's Office,"121 Roberta Dr  Barnesville, GA 30204",770-358-5159,28.0,"15,912",Sheriff
14534,GA,Lanier County Sheriff's Office,"100 Main St  Lakeland, GA 31635",229-482-3540,13.0,"7,241",Sheriff
14535,GA,Laurens County Sheriff's Office,"511 Southern Pines Rd  Dublin, GA 31021",912-272-1522,61.0,"44,874",Sheriff
14536,GA,Lavonia Police Department,"P.O. Box 564  Lavonia, GA 30553",706-356-4848,13.0,"1,827",Local Police
14537,GA,Lawrenceville Police Department,"P.O Box 2200  Lawrenceville, GA 30046",770-339-2416,72.0,"22,397",Local Police
14538,GA,Leary Police Department,"P.O. Box 148  Leary, GA 31762",912-792-6121,1.0,666,Local Police
14539,GA,Lee County Sheriff's Office,"P.O. Box 617  Leesburg, GA 31763",912-759-6051,39.0,"24,757",Sheriff
14540,GA,Leesburg Police Department,"P.O. Box 890  Leesburg, GA 31763",912-759-6464,11.0,"2,633",Local Police
14541,GA,Lenox Police Department,"P.O. Box 560  Lenox, GA 31637",912-546-4252,1.0,889,Local Police
14542,GA,Leslie Police Department,"Post Office Box 278  Leslie, GA 31764",912-874-5835,4.0,455,Local Police
14543,GA,Liberty County Sheriff's Office,"P.O. Box 439100 Main St, Courthouse Hinesville, GA 31310",912-876-4555,66.0,"61,610",Sheriff
14544,GA,Lilburn Police Department,"76 Main Street  Lilburn, GA 30247",770-921-2211,27.0,"11,307",Local Police
14545,GA,Lincoln County Sheriff's Office,"P.O. Box 970145 School St Lincolnton, GA 30817",706-359-4118,12.0,"8,348",Sheriff
14546,GA,Lincolnton Police Department,"P.O. Box 489  Lincolnton, GA 30817",706-359-4121,5.0,"1,595",Local Police
14547,GA,Lithonia Police Department,"6980 Main Street  Lithonia, GA 30058",770-482-8947,8.0,"2,187",Local Police
14548,GA,Locust Grove Police Department,"P.O. Box 900  Locust Grove, GA 30248",770-957-7055,19.0,"2,322",Local Police
14549,GA,Loganville Police Department,"Post Office Box 39  Loganville, GA 30052",770-466-8087,26.0,"5,435",Local Police
14550,GA,Long County Sheriff's Office,"P.O. Box 368  Ludowici, GA 31316",912-545-2118,15.0,"10,304",Sheriff
14552,GA,Louisville Police Department,"Post Office Box 527  Louisville, GA 30434",912-625-8897,6.0,"2,712",Local Police
14553,GA,Lowndes County Sheriff's Office,"P.O. Box 667120 Prison Farm Rd Valdosta, GA 31603",912-333-5150,145.0,"92,115",Sheriff
14554,GA,Ludowici Police Department,"Post Office Box 800  Ludowici, GA 31316",912-545-2732,6.0,"1,440",Local Police
14555,GA,Lumber City Police Department,"Post Office Box 488  Lumber City, GA 31549",912-363-4331,2.0,"1,247",Local Police
14556,GA,Lumpkin County Sheriff's Office,"385 E Main St  Dahlonega, GA 30533",706-864-0414,40.0,"21,016",Sheriff
14557,GA,Lumpkin Police Department,"Post Office Box 278  Lumpkin, GA 31815",912-838-6101,4.0,"1,369",Local Police
14558,GA,Luthersville Police Department,"Post Office Box 10104 WORTHAM ROAD Luthersville, GA 30251",770-927-6540,3.0,783,Local Police
14559,GA,Lyons Police Department,"257 North State Street  Lyons, GA 30436",912-526-3638,15.0,"4,169",Local Police
14561,GA,Macon County Sheriff's Office,"P.O. Box 345  Oglethorpe, GA 31068",912-472-6457,9.0,"14,074",Sheriff
14562,GA,Macon Police Department,"700 Poplar St.  Macon, GA 31202",478-751-7575,270.0,"97,255",Local Police
14564,GA,Madison County Sheriff's Office,"P.O. Box 651436 Highway 98 West Danielsville, GA 30633",706-795-2659,34.0,"25,730",Sheriff
14565,GA,Madison Police Department,"Post Office Box 32  Madison, GA 30650",706-342-1275,13.0,"3,636",Local Police
14566,GA,Manchester Police Department,"P. O. Box 366  Manchester, GA 31816",706-846-3155,14.0,"3,988",Local Police
14567,GA,Marietta Police Department,"240 Lemon St.  Marietta, GA 30060",770-794-5351,133.0,"58,748",Local Police
14568,GA,Marion County Sheriff's Office,"P.O. Box 32  Buena Vista, GA 31803",912-649-3841,6.0,"7,144",Sheriff
14569,GA,Marshallville Police Department,"Post Office Box 83  Marshallville, GA 31057",912-967-2231,4.0,"1,335",Local Police
14572,GA,McCaysville Police Department,"Post Office Box 6  McCaysville, GA 30555",706-492-4636,4.0,"1,071",Local Police
14575,GA,McIntosh County Sheriff's Office,"12317 HWY 251  Darien, GA 31305",912-437-6622,42.0,"10,847",Sheriff
14576,GA,McIntyre Police Department,"Post Office Box 38  McIntyre, GA 31054",912-946-5540,5.0,718,Local Police
14577,GA,McRae Police Department,"Post Office Box 157  McRae, GA 31055",912-868-6333,8.0,"2,682",Local Police
14580,GA,Meigs Police Department,"P.O. Box 47  Meigs, GA 31765",912-683-3110,3.0,"1,090",Local Police
14581,GA,Meriwether County Sheriff's Office,"17400 Roosevelt HwyPOST OFFICE BOX 476 Greenville, GA 30222",706-672-4489,30.0,"22,534",Sheriff
14582,GA,Metter Police Department,"P.O. Box 74  Metter, GA 30439",912-685-5437,12.0,"3,879",Local Police
14584,GA,Midville Police Department,"P.O. Box 234  Midville, GA 30441",912-589-7511,1.0,457,Local Police
14587,GA,Milledgeville Police Department,"125 W. Mcintosh Street  Milledgeville, GA 31061",912-445-0900,42.0,"18,757",Local Police
14588,GA,Millen Department Of Public Safety,"P.O. Box 929  Millen, GA 30442",912-982-6107,10.0,"3,492",Local Police
14589,GA,Miller County Sheriff's Office,"300 W Pine St  Colquitt, GA 39837",912-758-3421,12.0,"6,383",Sheriff
14592,GA,Mitchell County Sheriff's Office,"4815 Ga Highway 37PO Box 28 Camilla, GA 31730",912-336-2030,25.0,"23,932",Sheriff
14593,GA,Molena Police Department,"P.O.Box 247  Molena, GA 30258",770-884-5669,1.0,475,Local Police
14594,GA,Monroe County Sheriff's Office,"P.O. Box 276145 L Cary Bittick Dr Forsyth, GA 31029",912-994-7048,49.0,"21,757",Sheriff
14596,GA,Montezuma Police Department,"Post Office Box 388  Montezuma, GA 31063",912-472-0911,11.0,"3,999",Local Police
14598,GA,Monticello Police Department,"224 Funderburg Dr.  Monticello, GA 31064",706-468-6911,11.0,"2,428",Local Police
14599,GA,Morgan County Sheriff's Office,"2380 Athens Hwy  Madison, GA 30650",706-342-1507,29.0,"15,457",Sheriff
14600,GA,Morrow Police Department,"6311-A Murphy Drive  Morrow, GA 30260",770-960-3001,32.0,"4,882",Local Police
14601,GA,Morven Police Department,"Post Office Box 250  Morven, GA 31638",912-775-2475,2.0,634,Local Police
14604,GA,Mount Vernon Police Department,"Post Office Box 237  Mt Vernon, GA 30445",912-583-2323,4.0,"2,082",Local Police
14605,GA,Mount Zion Police Department,"Post Office Box 597  Mount Zion, GA 30150",770-832-1622,3.0,"1,275",Local Police
14606,GA,Mountain City Police Department,"Post Office Box 493  Mountain City, GA 30562",706-746-2621,2.0,829,Local Police
14608,GA,Murray County Sheriff's Office,"810 1/25 G.I. MADDOX PARKWAY  Chatsworth, GA 30705",706-695-4592,38.0,"36,506",Sheriff
14610,GA,Muscogee County Sheriff's Office,"P.O. Box 1338  Columbus, GA 31902",706-653-4225,228.0,"186,291",Sheriff
14612,GA,Nashville Police Department,"405 W Washington Street  Nashville, GA 31639",912-686-7666,15.0,"4,697",Local Police
14614,GA,Newington Police Department,"Post Office Box 268  Newington, GA 30446",912-564-5868,1.0,322,Local Police
14615,GA,Newnan Police Department,"23 Jefferson StreetPO Box 1193 Newnan, GA 30263",770-254-2355,73.0,"16,242",Local Police
14616,GA,Newton County Sheriff's Office,"15151 Alcovy-Jersey Rd., N.E.  Covington, GA 30014",770-784-2103,152.0,"62,001",Sheriff
14617,GA,Newton Police Department,"Post Office Box 238  Newton, GA 39870",912-734-5331,1.0,851,Local Police
14618,GA,Nicholls Police Department,"Post Office Box 218  Nicholls, GA 31554",912-345-2421,4.0,"1,008",Local Police
14619,GA,Norcross Police Department,"65 Lawrenceville Street  Norcross, GA 30071",770-448-2111,35.0,"8,410",Local Police
14622,GA,Oakwood Police Department,"Post Office Box 99  Oakwood, GA 30566",770-534-2364,14.0,"2,689",Local Police
14624,GA,Oconee County Sheriff's Office,"P.O. Box 5631110 Experiment Station Watkinsville, GA 30677",706-769-3945,48.0,"26,225",Sheriff
14625,GA,Oglethorpe County Sheriff's Office,"P.O. Box 17  Lexington, GA 30648",706-743-8102,19.0,"12,635",Sheriff
14626,GA,Oglethorpe Police Department,"Post Office Box 944  Oglethorpe, GA 31068",912-472-7934,5.0,"1,200",Local Police
14628,GA,Omega Police Department,"Post Office Box 6  Omega, GA 31775",229-528-4400,5.0,"1,340",Local Police
14629,GA,Oxford Police Department,"110 W. Clark Street  Oxford, GA 30054",770-786-7004,4.0,"1,892",Local Police
14630,GA,Palmetto Police Department,"401 Carlton Road  Palmetto, GA 30268",770-463-9068,13.0,"3,400",Local Police
14631,GA,Patterson Police Department,"Post Office Box 434  Patterson, GA 31557",912-647-5776,2.0,627,Local Police
14633,GA,Paulding County Sheriff's Office,"247 Industrial Way N  Dallas, GA 30132",770-443-3021,175.0,"81,678",Sheriff
14634,GA,Pavo Police Department,"1005 South Main St  Pavo, GA 31778",912-859-2111,5.0,711,Local Police
14635,GA,Peach County Sheriff's Office,"1007 Spruce StPO Box 510 Fort Valley, GA 31030",912-825-8269,52.0,"23,668",Sheriff
14636,GA,Peachtree City Police Department,"350 South Highway 74  Peachtree City, GA 30269",770-487-8866,60.0,"31,580",Local Police
14637,GA,Pearson Police Department,"Post Office Box 335  Pearson, GA 31642",912-422-3397,5.0,"1,805",Local Police
14638,GA,Pelham Police Department,"171 Mathewson Ave. S.W.  Pelham, GA 31779",912-294-6000,14.0,"4,126",Local Police
14639,GA,Pembroke Police Department,"P.O. Box 790  Pembroke, GA 31321",912-653-4414,7.0,"2,379",Local Police
14641,GA,Perry Police Department,"P.O. Box 2030  Perry, GA 31069",912-988-2803,38.0,"9,602",Local Police
14643,GA,Pickens County Sheriff's Office,"2985 Camp Rd, Ste 100  Jasper, GA 30143",706-692-2471,47.0,"22,983",Sheriff
14644,GA,Pierce County Sheriff's Office,"300 Industrial Blvd  Blackshear, GA 31516",912-449-2011,13.0,"15,636",Sheriff
14645,GA,Pike County Sheriff's Office,"P.O. Box 236  Zebulon, GA 30295",770-567-8431,29.0,"13,688",Sheriff
14646,GA,Pine Lake Police Department,"459 Pine Drive P O Box 311P.O. BOX 1325 Pine Lake, GA 30072",404-292-4250,2.0,621,Local Police
14647,GA,Pine Mountain Police Department,"Post Office Box 8  Pine Mountain, GA 31822",706-663-2787,7.0,"1,141",Local Police
14648,GA,Pineview Police Department,"Post Office Box 127  Pineview, GA 31071",912-624-2422,1.0,532,Local Police
14650,GA,Polk County Sheriff's Office,"1676 Rockmart Hwy  Cedartown, GA 30125",770-749-2900,27.0,"38,127",Sheriff
14651,GA,Pooler Police Department,"119 West Highway 80  Pooler, GA 31322",912-748-7333,29.0,"6,239",Local Police
14654,GA,Porterdale Police Department,"P.O. Box 667  Porterdale, GA 30070",770-786-2217,7.0,"1,281",Local Police
14655,GA,Poulan Police Department,"Post Office Box 68  Poulan, GA 31781",912-776-4096,5.0,946,Local Police
14656,GA,Powder Springs Police Department,"P.O. Box 46  Powder Springs, GA 30127",770-943-1616,31.0,"12,481",Local Police
14657,GA,Pulaski County Sheriff's Office,"P.O. Box 330350 Commerce St Hawkinsville, GA 31036",912-783-1521,12.0,"9,588",Sheriff
